식품명,식품대분류명,영양성분함량기준량,에너지(kcal),단백질(g),지방(g),탄수화물(g),당류(g),식이섬유(g),나트륨(mg),콜레스테롤(mg),포화지방산(g),트랜스지방산(g)
강남쌀국수해선장소스,조미식품,100g,213.0,3.33,0.0,50.0,46.67,,2303.0,0.0,0.0,0.0
강남언니 호박즙,농산가공식품류,100g,31.0,1.87,0.02,5.81,4.79,,4.0,0.0,0.01,0.0
강남역 호랑이 삼겹,즉석식품류,100g,217.0,8.88,15.94,9.59,0.0,1.8,328.0,38.83,5.56,0.0
강남왕꿀호떡,과자류·빵류 또는 떡류,100g,342.0,4.0,11.0,57.0,15.0,,202.0,0.0,2.0,0.0
강남왕씨앗호떡,과자류·빵류 또는 떡류,100g,347.0,5.0,13.0,53.0,17.0,,181.0,0.0,2.0,0.0
강남재래식된장,장류,100g,177.0,13.5,5.1,19.3,10.4,,5586.0,0.0,0.8,0.0
강남카페 골드 믹스,음료류,100g,427.0,0.0,13.68,76.92,42.74,,128.0,0.0,12.82,0.0
강남태양초찰진고추장,장류,100g,234.0,5.0,7.0,48.0,16.0,,2520.0,0.0,0.0,0.0
강낭콩,농산가공식품류,100g,77.0,5.0,0.0,15.0,1.0,,108.0,0.0,0.0,0.0
강낭콩 훈제오리 온샐러드,즉석식품류,100g,173.0,6.13,5.16,25.49,4.52,,216.0,9.68,1.07,0.0
강낭콩_말린것,두류,100g,350.0,21.2,1.1,63.9,,,2.0,,,
강낭콩_말린것을 삶은것,두류,100g,169.0,10.35,0.93,29.43,0.75,12.4,3.0,0.0,0.19,0.0
강낭콩_삶은것,두류,100g,170.0,8.46,0.9,31.9,0.0,15.2,3.0,0.0,0.18,0.0
강낭콩_생것,두류,100g,172.0,8.8,0.86,32.38,0.0,14.1,0.0,0.0,0.22,0.0
강낭콩밥,밥류,100g,111.5,2.25,0.24,24.1,0.08,0.95,1.5,0.0,0.08,
강낭콩배기,절임류 또는 조림류,100g,275.0,7.0,0.8,60.0,34.0,,75.0,0.0,0.0,0.0
강낭콩설기,절임류 또는 조림류,100g,201.0,4.8,0.0,44.0,43.2,,0.0,0.0,0.0,0.0
강낭콩숙주무된죽,특수영양식품,100g,67.0,2.0,0.13,14.67,0.0,,3.0,0.0,0.0,0.0
강낭콩숙주무죽,특수영양식품,100g,64.0,1.43,0.0,14.29,0.0,,2.0,0.0,0.0,0.0
강낭콩숙주무홍국미된죽,특수영양식품,100g,71.0,1.67,0.13,15.93,0.0,,3.0,0.0,0.0,0.0
강낭콩숙주무홍국미무른밥,특수영양식품,100g,110.0,2.6,0.2,24.54,0.0,,4.0,0.0,0.0,0.0
강낭콩숙주무홍국미죽,특수영양식품,100g,61.0,1.4,0.13,13.67,0.0,,2.0,0.0,0.0,0.0
강낭콩숙주무홍국미진밥,특수영양식품,100g,96.0,2.33,0.2,21.33,0.0,,4.0,0.0,0.0,0.0
강낭콩앙금빵,과자류·빵류 또는 떡류,100g,306.0,6.71,5.62,57.15,21.73,,237.0,14.39,3.03,0.0
강낭콩애호박송화버섯된죽,특수영양식품,100g,68.0,1.67,0.13,14.93,0.2,,2.0,0.0,0.0,0.0
강낭콩애호박송화버섯무른밥,특수영양식품,100g,85.0,2.07,0.2,18.87,0.2,,2.0,0.0,0.0,0.0
강낭콩애호박송화버섯미강무른밥,특수영양식품,100g,87.0,2.13,0.27,18.93,0.2,,2.0,0.0,0.0,0.0
강낭콩애호박송화버섯미강진밥,특수영양식품,100g,98.0,2.53,0.33,21.13,0.27,,2.0,0.0,0.07,0.0
강낭콩애호박송화버섯죽,특수영양식품,100g,62.0,1.53,0.13,13.67,0.2,,2.0,0.0,0.0,0.0
강낭콩애호박송화버섯진밥,특수영양식품,100g,93.0,2.33,0.2,20.6,0.27,,2.0,0.0,0.0,0.0
강낭콩연근아욱된죽,특수영양식품,100g,54.0,0.47,5.0,1.87,0.13,,29.0,2.73,0.8,0.07
강낭콩연근아욱죽,특수영양식품,100g,54.0,0.47,5.0,1.87,0.13,,29.0,2.73,0.8,0.07
강낭콩연근아욱차조무른밥,특수영양식품,100g,79.0,0.8,6.73,3.73,0.2,,38.0,3.67,1.07,0.07
강낭콩연근아욱차조진밥,특수영양식품,100g,89.0,0.87,7.53,4.2,0.27,,43.0,4.13,1.2,0.07
강낭콩조림,절임류 또는 조림류,100g,245.0,6.1,0.0,55.1,12.2,,469.0,0.0,0.0,0.0
강냉이,과자류·빵류 또는 떡류,100g,395.67,7.02,3.26,84.54,7.73,0.4,41.83,0.0,0.64,0.0
강냉이뻥튀기,과자류·빵류 또는 떡류,100g,401.0,9.5,2.6,84.0,5.4,,42.0,0.0,2.4,0.0
강냉이스낵클래식,과자류·빵류 또는 떡류,100g,520.0,6.0,11.0,83.0,31.0,,110.0,5.0,4.5,0.3
강냉이튀밥,과자류·빵류 또는 떡류,100g,419.0,7.0,4.8,87.0,12.0,,85.0,0.0,0.0,0.0
강녕 아카시아 꿀 양갱,과자류·빵류 또는 떡류,100g,319.0,3.0,0.09,76.6,36.6,,28.0,0.0,0.0,0.0
강녕진세 경옥수,음료류,100g,53.0,0.46,0.0,12.73,9.09,,49.0,0.0,0.0,0.0
강다짐 국수면,면류,100g,350.0,12.0,1.5,75.0,3.2,,1400.0,0.0,0.4,0.0
강다짐 살코기참치,수산가공식품류,100g,160.0,21.85,8.0,0.05,0.0,,569.0,56.25,1.8,0.03
강다짐 삼각김밥용 전장김,수산가공식품류,100g,541.0,27.8,35.7,27.1,0.0,,1314.0,18.7,3.2,0.6
강달이류_눈강달이_육_생것_대표_4월,어패류 및 기타 수산물,100g,110.0,14.9,4.99,0.0,,,,,,
강달이류_눈강달이_육_생것_인천_평균,어패류 및 기타 수산물,100g,109.0,17.0,3.9,0.1,0.1,0.0,,,,
강달이류_눈강달이_육_젓갈_대표_평균,어패류 및 기타 수산물,100g,102.0,14.0,5.1,0.0,0.0,0.0,,,,
강달이류_눈강달이_육_젓갈_신안_6월,어패류 및 기타 수산물,100g,88.0,12.0,3.8,0.4,3.8,,,,,
강대감 백순대,즉석식품류,100g,167.0,9.8,8.1,13.8,3.4,,271.0,37.0,3.1,0.0
강대감 찰순대,즉석식품류,100g,177.0,4.2,3.8,31.6,1.2,,477.0,27.1,1.4,0.0
강대인 현미 연근칩,과자류·빵류 또는 떡류,100g,382.0,3.58,6.02,78.39,0.29,,386.0,0.0,1.26,0.05
강대인논이랑현미쿠키,과자류·빵류 또는 떡류,100g,387.0,8.09,1.91,84.47,1.28,,83.0,0.0,0.43,0.0
강대인논이랑현미쿠키미니,과자류·빵류 또는 떡류,100g,387.0,8.18,1.82,84.55,1.36,,83.0,0.0,0.45,0.0
강동 30초 고등어,즉석식품류,100g,170.0,10.0,14.0,1.0,0.0,,370.0,35.0,3.2,0.0
강동 30초 찐 부세보리굴비,즉석식품류,100g,327.0,38.18,17.27,3.64,0.0,,936.0,440.91,7.27,0.0
강동 냉동 쌀떡볶이,과자류·빵류 또는 떡류,100g,217.0,4.3,1.4,46.7,0.0,,383.0,0.0,0.3,0.0
강동 냉동밀떡,과자류·빵류 또는 떡류,100g,213.0,5.9,1.1,44.9,2.2,,195.0,0.0,0.2,0.0
강동 밀떡,과자류·빵류 또는 떡류,100g,213.0,5.9,1.1,44.9,2.2,,195.0,0.0,0.2,0.0
강동 백김치,절임류 또는 조림류,100g,18.0,1.03,0.0,3.5,1.5,,565.0,0.0,0.0,0.0
강동 순쌀 떡국떡,과자류·빵류 또는 떡류,100g,228.0,4.5,0.6,51.1,0.0,,272.0,0.0,0.2,0.0
강동 쌀떡,과자류·빵류 또는 떡류,100g,217.0,4.3,1.4,46.7,0.0,,383.0,0.0,0.3,0.0
강동 이왕 쌀떡볶이,과자류·빵류 또는 떡류,100g,217.0,4.3,1.4,46.7,0.0,,383.0,0.0,0.3,0.0
강동김치,절임류 또는 조림류,100g,32.4,1.32,0.0,6.8,4.24,,538.2,0.0,0.0,0.0
강동깍두기김치,절임류 또는 조림류,100g,38.0,1.4,0.0,8.1,5.4,,692.0,0.0,0.2,0.0
강동백김치,절임류 또는 조림류,100g,18.5,1.12,0.0,3.5,1.7,,573.0,0.0,0.0,0.0
강동상회 7곡 미숫가루,농산가공식품류,100g,409.0,16.0,6.0,68.0,1.8,,1.0,0.0,1.0,0.0
강동상회 건강한끼 7곡,농산가공식품류,100g,400.0,13.33,5.0,75.67,1.33,,4.0,0.0,1.67,0.0
강동상회 건강한끼 귀리,농산가공식품류,100g,587.0,14.67,15.67,97.33,1.67,,5.0,0.0,3.0,0.0
강동상회 건강한끼 귀리서리태,농산가공식품류,100g,425.0,33.5,12.75,44.5,5.0,,4.0,0.0,2.75,0.0
강동상회 건강한끼 귀리팥,농산가공식품류,100g,527.0,19.33,7.33,96.33,1.33,,5.0,0.0,2.33,0.0
강동상회 검은 서리태가루,농산가공식품류,100g,402.0,39.0,7.0,45.0,5.4,,2.0,0.0,1.0,0.0
강동상회 검정 미숫가루,농산가공식품류,100g,435.0,25.0,14.0,45.0,3.2,,2.0,0.0,3.0,0.0
강동상회 귀리 미숫가루,농산가공식품류,100g,328.0,13.0,9.0,52.0,1.2,,1.0,0.0,5.0,0.0
강동상회 들기름,식용유지류,100g,830.0,2.0,88.0,3.0,0.0,,1.0,0.0,10.0,0.0
강동상회 볶음참깨,농산가공식품류,100g,695.0,25.0,58.0,18.0,1.1,,0.0,0.0,5.5,0.0
강동상회 붉은 팥가루,농산가공식품류,100g,386.0,23.0,6.0,58.0,1.1,,1.0,0.0,1.0,0.0
강동상회 참기름,식용유지류,100g,856.0,3.0,91.0,3.0,0.0,,1.0,0.0,15.0,0.0
강동샐러리장아찌,절임류 또는 조림류,100g,40.0,0.7,0.0,9.4,8.5,,381.0,0.0,0.0,0.0
강동찐 간장게장,절임류 또는 조림류,100g,97.0,10.22,0.6,12.6,8.76,,985.0,46.16,0.24,0.0
강동찐 양념게장,절임류 또는 조림류,100g,109.0,12.39,1.65,13.84,6.32,5.3,1011.0,44.9,0.1,0.0
강된장,장류,100g,119.0,6.0,4.41,15.97,3.88,,1682.0,0.0,0.78,0.0
강된장 두부면 슬라이스,즉석식품류,100g,119.0,10.23,5.82,6.51,1.63,,577.0,16.28,0.95,0.0
강된장 비빔밥,즉석식품류,100g,72.0,3.02,3.18,10.1,4.35,4.4,773.0,0.0,0.46,0.01
강된장 비빔밥세트,즉석식품류,100g,317.0,13.33,3.33,60.0,20.0,,4400.0,0.0,0.67,0.0
강된장 비빔양념,조미식품,100g,121.0,4.29,6.0,12.86,4.29,,443.0,21.43,3.29,0.0
강된장 시래기 표고버섯밥,즉석식품류,100g,131.0,6.51,2.09,24.65,0.0,,409.0,0.0,0.26,0.0
강된장 오색 비빔밥 키트,즉석식품류,100g,318.0,8.0,4.0,63.0,3.0,,961.0,0.0,0.6,0.0
강된장 파스타 슬라이스,즉석식품류,100g,117.0,7.91,3.02,14.89,2.33,,537.0,16.28,0.44,0.0
강된장&제육 쌈밥세트,즉석식품류,100g,89.0,6.81,3.14,8.38,3.23,,450.0,10.04,1.31,0.0
강된장&취나물곤약밥,즉석식품류,100g,156.0,3.6,3.6,27.2,0.8,,300.0,0.0,0.48,0.0
강된장나물비빔 세트,특수의료용도식품,100g,113.0,5.0,6.79,8.21,1.79,,264.0,3.57,0.57,0.04
강된장덮밥,즉석식품류,100g,117.0,3.77,0.77,23.86,0.77,,326.0,0.0,0.32,0.0
강된장덮밥소스 세트,즉석식품류,100g,113.0,6.05,5.1,10.86,2.71,,434.0,49.67,1.0,0.0
강된장두부덮밥,즉석식품류,100g,164.0,4.29,3.57,28.57,0.71,,469.0,0.0,0.71,0.0
강된장두부덮밥소스,조미식품,100g,91.0,6.47,4.12,8.82,4.71,3.5,759.0,2.94,0.82,0.0
강된장버섯덮밥,즉석식품류,100g,113.0,8.76,1.38,16.13,2.76,,106.0,0.0,0.0,0.0
강된장비빔밥,즉석식품류,100g,132.0,5.64,2.75,22.08,1.2,,345.0,8.76,0.58,0.0
강된장비빔밥세트,절임류 또는 조림류,100g,54.0,2.2,2.4,6.0,1.9,,539.0,0.0,0.41,0.0
강된장비빔삼각김밥,즉석식품류,100g,165.0,3.48,4.09,28.7,3.48,,517.0,0.0,0.78,
강된장비빔소스,즉석식품류,100g,50.0,3.0,0.6,8.0,2.0,,560.0,0.0,0.2,0.0
강두유 호두와 아몬드 두유,음료류,100g,53.0,2.05,2.32,5.79,5.26,,74.0,0.0,0.53,0.0
강또 디카페인,음료류,100g,4.0,0.2,0.0,0.7,0.0,,0.0,3.3,0.0,0.0
강또 에스프레소,음료류,100g,4.0,0.2,0.0,0.7,0.0,,0.0,3.3,0.0,0.0
강력 밀가루,농산가공식품류,100g,350.0,13.0,1.1,72.0,1.05,,0.0,0.0,0.0,0.0
강력1등,농산가공식품류,100g,355.0,13.0,1.7,72.0,1.3,,3.0,0.0,0.5,0.0
강력BULK,농산가공식품류,100g,360.0,13.0,2.1,72.0,3.5,,5.0,0.0,0.8,0.0
강력밀가루,농산가공식품류,100g,355.0,13.0,1.5,72.5,1.18,,0.5,0.0,0.28,0.0
강력밀가루 제빵용,농산가공식품류,100g,355.0,13.0,1.3,73.0,0.0,,0.0,0.0,0.0,0.0
강력밀가루1등급,농산가공식품류,100g,356.67,13.0,1.57,72.67,1.17,,1.67,0.0,0.27,0.0
강력제면용M,농산가공식품류,100g,355.0,10.0,1.4,76.0,0.0,,0.0,0.0,0.0,0.0
강력추천8찬정식,즉석식품류,100g,189.33,8.66,6.17,24.76,3.26,,251.33,19.98,1.56,0.0
강릉 딸기모찌,과자류·빵류 또는 떡류,100g,216.0,4.0,1.4,47.0,19.0,,181.0,0.0,0.7,0.0
강릉 보헤미안 메모리즈,음료류,100g,0.0,0.0,0.0,0.0,0.0,,2.0,0.0,0.0,0.0
강릉 보헤미안 바다,음료류,100g,0.0,0.0,0.0,0.0,0.0,,2.0,0.0,0.0,0.0
강릉 보헤미안 블랙펄,음료류,100g,0.0,0.0,0.0,0.0,0.0,,2.0,0.0,0.0,0.0
강릉 샤인머스켓모찌,과자류·빵류 또는 떡류,100g,223.0,4.0,0.8,50.0,20.0,,131.0,0.0,0.0,0.0
강릉 설향딸기,빙과류,100g,181.0,4.7,5.5,30.0,12.0,,90.0,52.0,4.3,0.0
강릉 양갱,과자류·빵류 또는 떡류,100g,272.0,4.0,0.0,64.0,54.0,,0.0,0.0,0.0,0.0
강릉감자빵 냉동,과자류·빵류 또는 떡류,100g,269.0,2.4,12.2,37.3,9.1,,226.0,18.8,3.7,0.1
강릉감자칩 솔트맛,과자류·빵류 또는 떡류,100g,564.0,5.59,36.03,54.27,0.15,,144.0,0.0,5.15,0.15
강릉감자칩 토마토&후추맛,과자류·빵류 또는 떡류,100g,512.0,7.06,27.06,60.15,2.06,,447.0,0.0,4.56,0.15
강릉고유수두부,두부류 또는 묵류,100g,85.0,7.67,4.47,4.87,0.0,,123.0,0.0,0.63,0.0
강릉곶감약과,과자류·빵류 또는 떡류,100g,430.0,4.4,16.0,67.0,24.0,,99.0,0.0,3.5,0.2
강릉교동반점직화짬뽕,면류,100g,409.0,9.09,13.64,62.73,5.45,,1609.0,7.27,5.45,0.0
강릉교동반점직화짬뽕소컵,면류,100g,446.0,9.23,18.46,60.0,4.62,,1600.0,7.69,9.23,0.0
강릉교동반점짬뽕,면류,100g,427.0,8.18,14.55,65.45,5.45,,1518.0,10.0,7.27,0.0
강릉꿈드림김장김치,절임류 또는 조림류,100g,22.0,1.8,0.3,4.5,0.0,3.0,546.0,4.5,0.1,0.0
강릉꿈드림묵은지,절임류 또는 조림류,100g,22.0,1.8,0.3,4.5,0.0,3.0,546.0,4.5,0.1,0.0
강릉단오빵,과자류·빵류 또는 떡류,100g,349.0,7.43,6.57,64.86,27.14,,102.0,34.0,4.0,0.0
강릉딸기 담금주키트,농산가공식품류,100g,281.0,0.98,0.92,70.0,15.0,,157.0,0.0,0.0,0.0
강릉딸기랑 딸기잼,잼류,100g,255.0,0.9,0.0,62.0,57.0,,0.0,0.0,0.0,0.0
강릉마루커피빵,과자류·빵류 또는 떡류,100g,297.0,3.6,2.12,68.0,38.0,,219.0,0.0,0.6,0.0
강릉만월커피빵,과자류·빵류 또는 떡류,100g,491.0,6.9,20.1,65.0,29.9,,15.0,65.0,9.6,0.0
강릉빵다방 디카페인 콜드브루,음료류,100g,4.0,0.38,0.21,0.38,0.0,,0.0,0.0,0.0,0.0
강릉사과 담금주키트,농산가공식품류,100g,194.0,0.98,1.0,50.2,34.1,,1.0,0.0,0.0,0.0
강릉상회 국내산 소고기육포세트,식육가공품 및 포장육,100g,345.0,46.0,6.5,28.0,10.0,,100.0,811.0,2.2,0.2
강릉상회 와규육포세트,식육가공품 및 포장육,100g,349.0,45.5,6.4,28.0,9.4,,105.0,1160.0,2.1,0.1
강릉상회 지리산한우 육포세트,식육가공품 및 포장육,100g,350.0,45.5,6.4,27.5,9.4,,103.0,1159.0,2.2,0.2
강릉상회 한우채끝 육포세트,식육가공품 및 포장육,100g,350.0,46.0,7.0,28.0,10.0,,105.0,1160.0,2.2,0.1
강릉상회 홍두깨살 육포세트,식육가공품 및 포장육,100g,350.0,45.0,6.0,27.0,9.0,,103.0,159.0,2.0,0.2
강릉샌드버터크림,기타식품류,100g,505.0,1.14,28.72,60.52,48.24,,145.0,102.52,18.82,0.0
강릉샌드생지,과자류·빵류 또는 떡류,100g,422.0,4.42,17.58,61.4,16.39,,197.0,85.75,11.74,0.0
강릉식 꼬막비빔밥과 미역국,즉석식품류,100g,94.0,3.42,1.2,17.43,2.39,,183.0,5.13,0.38,0.0
강릉식 장칼국수,면류,100g,258.5,6.5,2.8,51.78,3.73,,1097.0,9.29,0.57,0.0
강릉식 짬뽕 순두부 찌개 밀키트,즉석식품류,100g,73.0,4.42,4.27,4.11,1.24,,301.0,8.43,0.77,0.02
강릉식 짬뽕 순두부찌개,즉석식품류,100g,73.0,4.42,4.27,4.11,1.24,,301.0,8.43,0.77,0.02
강릉식 짬뽕순두부,즉석식품류,100g,81.0,6.0,4.8,3.4,1.0,,393.0,19.0,0.92,0.1
강릉식 짬뽕순두부국밥,즉석식품류,100g,118.0,4.8,1.8,20.7,0.6,,633.0,5.5,0.6,0.0
강릉식가리비무침,수산가공식품류,100g,114.0,13.28,1.75,11.22,4.78,,815.0,32.72,0.35,0.0
강릉식짬뽕순두부소스F,조미식품,100g,255.0,5.62,19.0,15.43,3.13,,2355.0,0.0,3.32,0.14
강릉식짬뽕순두부찌개양념,조미식품,100g,129.0,3.57,8.57,10.72,7.14,,1550.0,7.14,2.29,0.0
강릉식짬뽕초당순두부찌개,즉석식품류,100g,50.0,3.08,2.87,2.93,1.32,,433.0,14.0,0.37,0.0
강릉심해 해양심층수 두부,두부류 또는 묵류,100g,85.0,8.0,5.0,3.0,0.0,3.0,113.0,0.0,2.0,0.0
강릉쌀 샌드,과자류·빵류 또는 떡류,100g,544.0,8.0,32.0,52.0,16.0,,4.0,24.0,20.0,0.0
강릉어묵,수산가공식품류,100g,190.0,10.25,3.85,28.5,1.5,,744.0,18.85,0.75,0.0
강릉에서온 진미채 비빔장,조미식품,100g,278.0,12.8,12.5,28.5,10.9,,1100.0,79.7,1.6,0.1
강릉에서온 진미채 쌈장,조미식품,100g,235.0,13.1,7.8,28.0,9.6,,1222.0,96.6,1.1,0.0
강릉에서온 진미채 튀김,수산가공식품류,100g,559.0,26.9,36.2,31.4,6.7,,645.0,157.4,4.6,0.1
강릉옥수수스프,즉석식품류,100g,437.0,6.67,16.67,66.67,33.33,,2050.0,0.0,8.33,0.0
강릉우리밀마약네쪽마늘빵,과자류·빵류 또는 떡류,100g,452.0,10.05,20.17,58.36,9.39,,517.0,27.0,7.71,0.07
강릉원조 꼬막비빔밥,즉석식품류,100g,187.0,5.22,4.78,31.3,2.17,,370.0,9.13,0.22,0.0
강릉유과,과자류·빵류 또는 떡류,100g,449.0,1.9,17.4,71.1,28.4,,36.0,0.0,4.0,0.2
강릉이가판두부,두부류 또는 묵류,100g,85.0,7.67,4.47,4.87,0.0,,123.0,0.0,0.63,0.0
강릉장칼 고추장육수,조미식품,100g,64.0,2.26,0.5,12.54,4.99,,795.0,1.47,0.16,0.0
강릉장칼 수제비,면류,100g,270.0,0.0,0.6,61.0,3.0,,220.0,11.0,0.2,0.0
강릉장칼 찐한사골육수,조미식품,100g,25.0,1.38,0.82,2.9,0.0,,941.0,3.09,0.42,0.03
강릉장칼국수소스,조미식품,100g,132.0,3.09,1.11,27.38,12.6,,3292.0,1.3,0.41,0.0
강릉장칼쫄깃감자수제비,면류,100g,265.0,8.87,0.86,55.34,2.96,,313.0,0.0,0.33,0.0
강릉처가댁꿀사과잼,잼류,100g,211.0,0.3,0.2,52.0,48.0,,10.0,0.0,0.0,0.0
강릉초당두부 도토리묵,두부류 또는 묵류,100g,40.0,0.0,0.0,10.0,0.0,,58.0,0.0,0.0,0.0
강릉초당두부 동부묵,두부류 또는 묵류,100g,38.0,0.0,0.0,9.0,0.0,,56.0,0.0,0.0,0.0
강릉초당두부떠먹는케이크,과자류·빵류 또는 떡류,100g,240.0,11.11,8.89,28.89,23.33,,102.0,71.11,5.22,0.0
강릉초당두부잼,조미식품,100g,362.0,6.15,14.9,50.85,10.05,,59.5,33.7,7.15,0.4
강릉초당두부케이크,과자류·빵류 또는 떡류,100g,235.0,7.0,11.0,27.0,21.0,,260.0,75.0,6.0,0.3
강릉초당순두부 ZERO,빙과류,100g,85.0,3.0,6.0,16.0,0.0,4.0,51.0,21.0,4.7,0.0
강릉초당순두부 제로바,빙과류,100g,129.0,3.75,10.0,21.25,0.0,8.8,84.0,22.5,7.5,0.31
강릉초당순두부우유,유가공품류,100g,73.0,2.33,3.33,8.33,8.0,,105.0,13.33,2.0,0.1
강릉초당인절미순두부아이스크림,빙과류,100g,177.0,3.33,7.33,24.67,15.33,,59.0,10.0,4.67,0.2
강릉초당초코순두부아이스크림,빙과류,100g,111.0,2.63,5.79,12.11,8.95,,54.0,9.47,3.16,0.16
강릉초희,음료류,100g,3.0,0.1,0.1,0.5,0.3,,1.0,0.0,0.0,0.0
강릉최가두부 230,두부류 또는 묵류,100g,99.0,10.74,2.12,9.31,0.42,,191.0,0.0,0.46,0.0
강릉최가두부 3000,두부류 또는 묵류,100g,85.0,8.0,5.0,3.0,0.0,,113.0,0.0,2.0,0.0
강릉최가두부 340,두부류 또는 묵류,100g,99.0,10.74,2.12,9.31,0.42,,191.0,0.0,0.46,0.0
강릉최가두부 4000,두부류 또는 묵류,100g,85.0,8.0,5.0,3.0,0.0,,113.0,0.0,2.0,0.0
강릉최가두부 5000,두부류 또는 묵류,100g,85.0,8.0,5.0,3.0,0.0,,113.0,0.0,2.0,0.0
강릉최가두부 550,두부류 또는 묵류,100g,99.0,10.74,2.12,9.31,0.42,,191.0,0.0,0.46,0.0
강릉최가두부 900,두부류 또는 묵류,100g,99.0,10.74,2.12,9.31,0.42,,191.0,0.0,0.46,0.0
강릉최가두부550,두부류 또는 묵류,100g,75.0,8.0,4.5,3.0,0.0,2.0,205.0,0.0,1.5,0.0
강릉최가두부900,두부류 또는 묵류,100g,75.0,8.0,4.5,3.0,0.0,2.0,205.0,0.0,1.5,0.0
강릉최가순두부 1000,두부류 또는 묵류,100g,85.0,8.0,5.0,3.0,0.0,,113.0,0.0,2.0,0.0
강릉최가순두부 400,두부류 또는 묵류,100g,62.0,5.6,3.55,2.35,0.2,,134.5,0.0,1.15,0.0
강릉최가순두부 600,두부류 또는 묵류,100g,85.0,8.0,5.0,3.0,0.0,,113.0,0.0,2.0,0.0
강릉커피 담금주키트,음료류,100g,33.0,1.67,1.33,3.83,0.42,,2.0,0.0,0.0,0.0
강릉커피건빵,과자류·빵류 또는 떡류,100g,433.0,8.8,9.3,78.4,20.3,,323.0,7.7,4.4,0.1
강릉커피땅콩빵,과자류·빵류 또는 떡류,100g,309.0,7.33,3.67,61.67,13.33,,341.0,25.67,1.67,0.0
강릉커피빵,과자류·빵류 또는 떡류,100g,319.0,6.67,3.33,65.67,29.33,,117.0,9.33,1.33,0.0
강릉커피스틱,음료류,100g,280.0,16.0,4.0,48.0,0.0,,8.0,0.0,0.0,0.0
강릉커피스틱 디카페인,음료류,100g,280.0,16.0,4.0,48.0,0.0,,8.0,0.0,0.0,0.0
강릉커피약과,과자류·빵류 또는 떡류,100g,385.0,4.1,8.4,73.2,29.2,,42.0,0.0,0.7,0.0
강릉커피쫀드기,과자류·빵류 또는 떡류,100g,330.0,5.0,0.0,75.0,35.0,,515.0,0.0,0.0,0.0
강릉커피타르트,과자류·빵류 또는 떡류,100g,380.0,2.22,17.78,51.11,24.44,,140.0,0.0,8.89,0.0
강릉한과마을전통식혜,음료류,100g,248.0,1.0,0.1,63.0,17.04,,4.0,0.0,0.0,0.0
강릉흑임자약과,과자류·빵류 또는 떡류,100g,429.0,7.0,17.0,60.0,20.0,,82.0,0.0,3.6,0.2
강명수양념 G,조미식품,100g,348.0,12.0,8.0,51.0,8.0,,3868.0,5.2,1.6,0.4
강명인청베리너츠바,과자류·빵류 또는 떡류,100g,480.0,16.0,24.0,52.0,24.0,,0.0,0.0,2.8,0.0
강명인청베리영양바,과자류·빵류 또는 떡류,100g,424.0,5.88,11.76,64.71,23.53,,0.0,0.0,0.0,0.0
강미조,과자류·빵류 또는 떡류,100g,477.0,5.7,18.0,71.4,22.0,,32.0,0.0,5.0,0.0
강변집장,장류,100g,133.0,11.39,3.62,13.79,3.14,,3285.0,0.0,0.61,0.0
강병원한우투뿔스테이크,식육가공품 및 포장육,100g,202.0,20.0,11.3,5.1,1.8,,138.0,51.4,1.8,0.0
강복자매실원액100,음료류,100g,221.0,0.4,0.2,54.3,54.1,,1.0,0.0,0.0,0.0
강복자숙성 구전지보 천마진,음료류,100g,95.0,12.0,2.9,5.3,2.2,,70.0,22.3,0.91,0.0
강복자숙성야채즙프리미엄 청,음료류,100g,51.0,0.1,0.0,12.7,12.0,,2.0,0.0,0.0,0.0
강복자숙성야채즙프리미엄 휴,음료류,100g,58.0,1.33,0.0,15.0,10.83,,13.0,0.0,0.0,0.0
강봉석150 도라지청,음료류,100g,295.0,1.16,0.12,72.28,34.41,2.5,16.0,0.0,0.01,0.0
강봉석150 레몬생강차,음료류,100g,287.0,3.72,0.01,71.43,66.95,,4.0,0.0,0.0,0.0
강봉석150 스윗라이트,음료류,100g,310.0,0.32,0.08,77.09,26.88,,9.0,0.0,0.0,0.0
강봉석조청프리미엄블랙영양바,과자류·빵류 또는 떡류,100g,545.0,18.01,35.68,37.97,11.57,,4.0,0.0,3.86,0.0
강블리라이프 블링 소불고기볶음밥,즉석식품류,100g,180.0,4.4,4.4,30.4,2.0,,348.0,4.0,1.6,0.04
강블리라이프 블링 오징어제육불볶음밥,즉석식품류,100g,170.0,4.4,3.6,30.0,2.0,,248.0,12.0,0.72,0.0
강블리라이프 블링 잡채볶음밥,즉석식품류,100g,176.0,3.2,4.4,30.8,2.4,,240.0,4.0,1.16,0.04
강블리라이프 블링 참치김치볶음밥,즉석식품류,100g,168.0,5.2,4.8,26.0,2.0,,260.0,4.0,1.16,0.0
강블리라이프 블링 치킨카레볶음밥,즉석식품류,100g,176.0,4.4,3.6,31.2,1.2,,302.0,8.0,1.0,0.04
강블리라이프 블링김치볶음밥,즉석식품류,100g,172.0,3.2,3.6,31.6,0.4,,252.0,0.0,1.24,0.0
강블리라이프 블링낙지볶음밥,즉석식품류,100g,170.0,4.0,2.8,32.0,1.6,,356.0,42.0,1.52,0.0
강블리라이프 블링새우볶음밥,즉석식품류,100g,164.0,3.6,3.6,29.2,0.4,,284.0,10.0,1.24,0.0
