식품명,식품대분류명,영양성분함량기준량,에너지(kcal),단백질(g),지방(g),탄수화물(g),당류(g),식이섬유(g),나트륨(mg),콜레스테롤(mg),포화지방산(g),트랜스지방산(g)
바질씨드다이어트바,,100g,531.0,12.36,31.52,49.31,13.81,,52.0,0.0,6.02,0.0
바질씨드드링크딸기향,,100g,19.0,0.0,0.0,4.83,3.79,,9.0,0.0,0.0,0.0
바질씨드드링크리치플레이버,,100g,52.0,0.0,0.0,13.1,12.07,,21.0,0.0,0.0,0.0
바질씨드드링크리치향,,100g,21.0,0.0,0.0,5.35,3.96,,9.0,0.0,0.0,0.0
바질씨드드링크망고플레이버,,100g,52.0,0.0,0.0,13.1,12.07,,21.0,0.0,0.0,0.0
바질씨드드링크망고향,,100g,19.0,0.0,0.0,4.83,3.79,,9.0,0.0,0.0,0.0
바질씨드드링크파인애플향,,100g,19.0,0.0,0.0,4.83,3.79,,9.0,0.0,0.0,0.0
바질씨드드링크화이트그레이프플레이버,,100g,55.0,0.0,0.0,13.79,13.1,,21.0,0.0,0.0,0.0
바질앤치즈베이글,,100g,296.0,10.82,9.56,41.62,1.58,,384.0,8.51,2.83,0.14
바질앤치킨샌드위치,,100g,246.0,10.0,12.94,22.35,2.35,,332.0,17.65,3.53,0.0
바질양념명란,,100g,124.0,15.47,2.15,10.81,0.0,,1715.0,116.65,1.24,0.0
바질양파빵,,100g,223.0,6.5,6.4,37.5,6.5,,348.0,7.5,2.1,0.1
바질어니언 새우칩,,100g,519.0,1.0,26.0,67.0,7.0,,997.0,10.0,15.0,0.0
바질어니언 크림치즈,,100g,323.0,6.9,29.3,8.0,0.0,,323.0,97.36,18.47,0.0
바질어니언맛새우칩,,100g,519.0,1.7,26.0,67.0,7.0,,997.0,10.0,15.0,0.0
바질어니언모짜소시지핫도그,,100g,404.0,11.25,18.75,48.75,12.5,,736.0,15.0,5.0,0.0
바질오일,,100g,801.0,0.2,83.15,13.6,0.0,,2.0,0.0,6.75,0.0
바질올리브 스콘 냉동생지,,100g,398.0,5.0,22.5,42.5,7.5,,374.0,71.25,12.5,0.0
바질올리브오일,,100g,859.5,0.0,95.45,0.0,0.0,,0.0,0.0,13.3,0.0
바질우유도우,,100g,254.0,8.86,3.98,45.73,1.13,,276.0,4.11,1.2,0.0
바질인너츠,,100g,595.0,6.0,60.5,8.0,1.0,,,0.0,8.3,0.0
바질인너츠파스타,,100g,181.0,4.45,8.52,21.11,1.85,3.0,1.0,0.0,1.48,0.0
바질인스윗발사믹,,100g,196.0,2.5,15.3,12.8,8.5,,0.0,0.0,2.1,0.0
바질인스윗발사믹 파스타,,100g,146.0,4.52,4.84,20.32,3.23,2.3,2.0,0.0,0.97,0.0
바질제이엠망고드링크,,100g,46.0,0.0,0.0,11.03,10.34,,30.0,0.0,0.0,0.0
바질주꾸미파스타샐러드,,100g,127.0,4.71,4.84,18.01,2.8,,303.0,24.58,1.2,0.0
바질치즈,,100g,288.0,24.0,17.0,8.0,3.0,,376.0,55.0,10.0,0.0
바질치즈 그리시니,,100g,331.0,6.0,13.0,48.0,1.0,,108.0,0.0,2.2,0.0
바질치즈 치아바타,,100g,367.33,8.63,24.52,28.56,2.52,,534.67,26.56,5.07,0.17
바질치즈 치아바타 샌드위치,,100g,264.67,9.57,14.02,25.13,4.79,,622.67,26.5,7.18,0.33
바질치즈롤빵,,100g,371.0,6.04,8.34,66.02,30.19,,247.0,7.47,5.74,0.19
바질치즈새우쌀식빵,,100g,197.0,11.0,6.0,24.0,3.0,,207.0,10.0,2.6,0.0
바질치즈샌드위치,,100g,264.0,12.31,8.72,33.33,3.08,,510.0,18.46,3.59,0.0
바질치즈스콘,,100g,462.2,10.81,19.27,62.0,6.84,,342.2,11.89,2.43,0.04
바질치즈치아바타,,100g,339.0,12.31,22.31,22.31,1.54,,686.0,28.46,8.46,0.23
바질치즈토스트,,100g,315.0,12.5,15.0,32.0,5.0,,566.0,17.2,8.5,0.1
바질치즈포카치아,,100g,283.0,13.67,14.32,24.96,3.74,,529.0,11.88,4.02,0.09
바질치킨 샌드위치,,100g,174.0,8.98,10.18,11.98,2.4,,261.0,28.14,2.75,0.0
바질치킨&렌틸샐러드,,100g,109.0,12.0,5.78,2.22,1.78,,382.0,111.11,1.42,0.0
바질치킨샌드위치,,100g,241.5,13.08,10.42,23.92,3.08,,466.0,30.0,3.6,0.08
바질치킨샐러드샌드위치,,100g,128.0,8.8,4.8,12.8,3.2,,240.0,20.0,1.76,0.0
바질치킨웜샐러드,,100g,158.0,7.95,5.51,19.12,4.39,,185.0,12.63,2.0,0.05
바질치킨토마토 파니니,,100g,225.0,11.62,5.05,33.34,5.56,,563.0,31.32,2.53,0.25
바질치킨토마토샌드,,100g,178.0,9.45,6.67,20.0,3.33,,417.0,19.45,1.72,0.0
바질카프레제 샌드위치,,100g,245.0,7.74,10.32,30.32,5.16,,232.0,34.84,7.74,0.58
바질카프레제치아바타,,100g,217.0,8.68,12.2,19.32,2.28,,467.0,10.59,2.96,0.0
바질콕콕와사비,,100g,234.0,2.8,11.07,30.83,1.88,,709.0,0.0,1.64,0.06
바질큐브치킨마요,,100g,115.0,8.13,4.88,9.76,8.94,,228.0,16.26,0.49,0.0
바질크런치,,100g,291.0,10.0,9.23,43.08,7.23,,376.0,43.85,4.85,0.1
바질크룽지,,100g,430.0,14.0,26.0,40.0,6.0,,380.0,10.0,2.0,0.0
